L97,,542673.0590,3009551.3770,247.9790
L98,,542664.6430,3009572.5770,247.9900
L99,,542668.6780,3009573.7160,247.9250
L100,,542671.0950,3009574.1750,247.8740
L101,,542670.6760,3009576.4290,247.8520
L102,,542668.3850,3009576.0280,247.9510
L103,,542660.3800,3009588.8840,247.8300
L104,,542665.4710,3009590.2880,247.7650
L105,,542665.4760,3009591.1920,247.9640
L106,,542660.8670,3009590.2690,247.8860
L107,,542659.9480,3009590.4000,247.8480
L108,,542654.0050,3009613.2210,247.7240
L109,,542656.1130,3009615.5130,247.9570
L110,,542633.1130,3009607.8870,247.8640
L111,,542632.7390,3009609.5190,247.8950
L112,,542631.8970,3009607.6500,247.9470
L113,,542631.4660,3009609.1860,248.0450
L114,,542620.6770,3009604.6450,248.1710
L115,,542624.2740,3009607.3600,247.7250
L116,,542623.4650,3009610.5300,247.7660
L117,,542619.9820,3009606.3940,249.4280
L118,,542618.9520,3009609.3700,249.1020
L119,,542616.8310,3009605.4960,249.3690
L120,,542616.4550,3009605.1370,249.4060
L121,,542616.4480,3009604.6940,249.4370
L122,,542615.2450,3009609.1900,249.3720
L123,,542615.3420,3009608.8630,249.3910
L124,,542615.9970,3009608.6680,249.4010
L125,,542667.9680,3009591.9830,247.3130
L126,,542672.5390,3009592.8580,246.9670
L127,,542667.8920,3009617.3110,246.8930
L128,,542663.2980,3009616.5000,247.2930
L129,,542677.1260,3009588.8950,243.9460
L130,,542677.9720,3009584.4340,244.0010
L131,,542676.3640,3009584.0640,243.8900
L132,,542685.6300,3009536.6380,244.0790
L133,,542686.7770,3009530.4480,244.2320
L134,,542683.7330,3009536.1290,244.8570
L135,,542683.2500,3009529.5840,245.4860
L136,,542670.9700,3009547.8740,247.9010
L137,,542671.4820,3009548.6930,247.9790
L138,,542670.9840,3009551.0020,248.0020
L139,,542670.1620,3009551.1190,247.9720
L140,,542669.9870,3009551.5800,247.9670
L141,,542665.7060,3009573.1700,247.9550
L142,,542665.1030,3009572.9170,247.9920
L143,,542664.5640,3009575.4730,247.9300
L144,,542665.2080,3009575.4690,247.9290
L145,,542663.8670,3009575.5590,247.9440
L146,,542680.0880,3009525.2410,248.5550
L147,,542677.3720,3009520.1400,248.5480
L148,,542682.0680,3009521.8230,249.3230
L150,,542641.9880,3009509.2620,251.1590
L151,,542639.6980,3009521.2830,251.2280
L152,,542637.0180,3009529.4670,250.8070
L152,,542641.9930,3009509.2510,251.1660
L153,,542628.9770,3009560.4610,250.2560

