 周   周秒      伪距		    	L1载波
1592	4471	21612728.83 	113575658.10 
1592	4472	21612337.14 	113573595.70 
1592	4473	21611944.40 	113571534.00 
1592	4474	21611552.35 	113569472.90 
1592	4475	21611159.76 	113567412.20 
1592	4476	21610767.86 	113565351.80 
1592	4477	21610375.96 	113563291.60 
1592	4478	21609983.77 	113561232.10 
1592	4479	21609591.84 	113559173.30 
1592	4480	21609200.67 	113557114.80 
1592	4481	21608809.17 	113555056.90 
1592	4482	21608417.27 	113552999.70 
1592	4483	21608026.05 	113550942.80 
1592	4484	21607634.59 	113548886.60 
1592	4485	21607243.57 	113546830.90 
1592	4486	21606852.22 	113544776.00 
1592	4487	21606461.40 	113542721.30 
1592	4488	21606070.49 	113540667.40 
1592	4489	21605679.49 	113538614.20 
1592	4490	21605288.91 	113536561.30 
1592	4491	21604898.44 	113534508.60 
1592	4492	21604507.75 	113532456.80 
1592	4493	21604117.93 	113530405.60 
1592	4494	21603727.77 	113528355.10 
1592	4495	21603337.80 	113526305.20 
1592	4496	21602947.84 	113524255.70 
1592	4497	21602557.57 	113522206.90 
1592	4498	21602168.23 	113520158.80 
1592	4499	21601778.05 	113518111.40 
1592	4500	21601388.84 	113516064.50 
1592	4501	21600999.24 	113514017.90 
1592	4502	21600609.95 	113511971.50 
1592	4503	21600220.54 	113509925.60 
1592	4504	21599831.13 	113507880.20 
1592	4505	21599442.32 	113505835.70 
1592	4506	21599052.65 	113503791.80 
1592	4507	21598664.32 	113501748.70 
1592	4508	21598275.63 	113499705.70 
1592	4509	21597886.97 	113497663.50 
1592	4510	21597498.75 	113495622.10 
1592	4511	21597110.26 	113493581.20 
1592	4512	21596721.83 	113491540.70 
1592	4513	21596333.86 	113489500.70 
1592	4514	21595945.67 	113487461.60 
1592	4515	21595557.85 	113485423.20 
1592	4516	21595170.18 	113483385.30 
1592	4517	21594782.45 	113481347.80 
1592	4518	21594395.11 	113479310.90 
1592	4519	21594007.26 	113477274.40 
1592	4520	21593619.84 	113475238.20 
1592	4521	21593232.57 	113473202.80 
1592	4522	21592845.15 	113471168.00 
1592	4523	21592458.16 	113469133.70 
1592	4524	21592071.20 	113467099.80 
1592	4525	21591684.23 	113465066.50 
1592	4526	21591297.55 	113463033.70 
1592	4527	21590910.26 	113461001.30 
1592	4528	21590523.62 	113458969.80 
1592	4529	21590137.57 	113456938.40 
1592	4530	21589750.65 	113454907.60 
1592	4531	21589364.94 	113452877.30 
1592	4532	21588978.38 	113450847.60 
1592	4533	21588592.34 	113448818.20 
1592	4534	21588206.43 	113446789.70 
1592	4535	21587820.00 	113444761.80 
1592	4536	21587434.48 	113442734.20 
1592	4537	21587048.71 	113440707.50 
1592	4538	21586663.20 	113438680.90 
1592	4539	21586277.91 	113436655.00 
1592	4540	21585892.20 	113434629.90 
1592	4541	21585506.73 	113432605.30 
1592	4542	21585121.97 	113430581.40 
1592	4543	21584736.83 	113428558.10 
1592	4544	21584352.17 	113426535.40 
1592	4545	21583967.27 	113424513.40 
1592	4546	21583582.60 	113422491.80 
1592	4547	21583198.27 	113420470.80 
1592	4548	21582813.62 	113418450.50 
1592	4549	21582428.80 	113416430.80 
1592	4550	21582045.00 	113414411.70 
1592	4551	21581660.90 	113412393.10 
1592	4552	21581276.76 	113410375.20 
1592	4553	21580892.92 	113408357.70 
1592	4554	21580508.63 	113406340.90 
1592	4555	21580125.54 	113404324.70 
1592	4556	21579741.73 	113402309.10 
1592	4557	21579358.42 	113400294.00 
1592	4558	21578975.06 	113398279.30 
1592	4559	21578591.90 	113396265.20 
1592	4560	21578208.73 	113394251.40 
1592	4561	21577825.97 	113392238.40 
1592	4562	21577442.52 	113390225.60 
1592	4563	21577059.63 	113388213.30 
1592	4564	21576677.22 	113386201.80 
1592	4565	21576294.03 	113384190.70 
1592	4566	21575911.33 	113382180.20 
1592	4567	21575529.09 	113380170.20 
1592	4568	21575146.54 	113378160.90 
1592	4569	21574764.05 	113376152.30 
1592	4570	21574382.34 	113374144.10 
1592	4571	21574000.01 	113372136.60 
1592	4572	21573618.22 	113370129.60 
1592	4573	21573236.55 	113368123.10 
1592	4574	21572854.87 	113366117.20 
1592	4575	21572473.08 	113364111.70 
1592	4576	21572091.84 	113362106.60 
1592	4577	21571710.27 	113360102.00 
1592	4578	21571328.96 	113358098.20 
1592	4579	21570947.55 	113356095.20 
1592	4580	21570566.73 	113354092.60 
1592	4581	21570185.55 	113352090.70 
1592	4582	21569804.80 	113350089.20 
1592	4583	21569423.88 	113348088.10 
1592	4584	21569043.40 	113346087.70 
1592	4585	21568662.78 	113344087.80 
1592	4586	21568282.36 	113342088.70 
1592	4587	21567902.32 	113340090.10 
1592	4588	21567521.92 	113338091.80 
1592	4589	21567141.52 	113336094.10 
1592	4590	21566761.70 	113334096.70 
1592	4591	21566381.57 	113332100.30 
1592	4592	21566001.77 	113330104.50 
1592	4593	21565622.09 	113328109.10 
1592	4594	21565242.55 	113326114.30 
1592	4595	21564863.14 	113324120.10 
1592	4596	21564483.44 	113322126.00 
1592	4597	21564104.28 	113320132.90 
1592	4598	21563725.33 	113318140.50 
1592	4599	21563346.26 	113316148.60 
1592	4600	21562966.88 	113314156.90 
1592	4601	21562588.09 	113312165.90 
1592	4602	21562209.40 	113310175.70 
1592	4603	21561831.07 	113308186.20 
1592	4604	21561452.30 	113306196.80 
1592	4605	21561073.56 	113304208.00 
1592	4606	21560695.53 	113302219.70 
1592	4607	21560317.67 	113300232.20 
1592	4608	21559939.13 	113298245.20 
1592	4609	21559561.34 	113296258.50 
1592	4610	21559183.30 	113294272.70 
1592	4611	21558805.76 	113292287.50 
1592	4612	21558427.34 	113290302.50 
1592	4613	21558050.18 	113288318.20 
1592	4614	21557672.77 	113286334.50 
1592	4615	21557295.34 	113284351.50 
1592	4616	21556917.72 	113282368.70 
1592	4617	21556540.63 	113280386.90 
1592	4618	21556164.60 	113278405.50 
1592	4619	21555786.61 	113276424.70 
1592	4620	21555410.40 	113274444.30 
1592	4621	21555033.27 	113272464.40 
1592	4622	21554656.40 	113270485.00 
1592	4623	21554280.22 	113268506.50 
1592	4624	21553903.95 	113266528.20 
1592	4625	21553527.65 	113264550.50 
1592	4626	21553151.11 	113262573.50 
1592	4627	21552775.29 	113260596.90 
1592	4628	21552398.98 	113258621.00 
1592	4629	21552023.23 	113256645.60 
1592	4630	21551647.38 	113254670.70 
1592	4631	21551271.59 	113252696.20 
1592	4632	21550895.84 	113250722.20 
1592	4633	21550520.27 	113248749.00 
1592	4634	21550144.56 	113246776.10 
1592	4635	21549769.44 	113244804.20 
1592	4636	21549394.59 	113242832.60 
1592	4637	21549019.38 	113240861.50 
1592	4638	21548644.56 	113238891.10 
1592	4639	21548269.91 	113236921.30 
1592	4640	21547894.95 	113234951.80 
1592	4641	21547520.06 	113232983.10 
1592	4642	21547146.03 	113231014.70 
1592	4643	21546771.34 	113229046.80 
1592	4644	21546396.55 	113227079.70 
1592	4645	21546022.56 	113225113.30 
1592	4646	21545648.64 	113223147.50 
1592	4647	21545274.80 	113221181.90 
1592	4648	21544900.43 	113219217.20 
1592	4649	21544526.73 	113217252.80 
1592	4650	21544152.87 	113215288.60 
1592	4651	21543779.48 	113213325.50 
1592	4652	21543405.96 	113211362.80 
1592	4653	21543032.75 	113209400.80 
1592	4654	21542659.43 	113207439.20 
1592	4655	21542286.24 	113205478.20 
1592	4656	21541913.37 	113203517.60 
1592	4657	21541540.14 	113201557.50 
1592	4658	21541167.63 	113199597.90 
1592	4659	21540794.63 	113197639.30 
1592	4660	21540421.73 	113195681.10 
1592	4661	21540049.66 	113193723.60 
1592	4662	21539676.92 	113191766.60 
1592	4663	21539304.55 	113189810.20 
1592	4664	21538933.13 	113187854.30 
1592	4665	21538560.47 	113185898.90 
1592	4666	21538188.55 	113183944.00 
1592	4667	21537816.52 	113181989.90 
1592	4668	21537444.23 	113180036.20 
1592	4669	21537072.78 	113178083.00 
1592	4670	21536701.55 	113176130.10 
1592	4671	21536329.80 	113174177.70 
1592	4672	21535958.12 	113172226.00 
1592	4673	21535587.36 	113170275.00 
1592	4674	21535215.85 	113168324.40 
1592	4675	21534845.14 	113166374.50 
1592	4676	21534474.03 	113164425.20 
1592	4677	21534103.07 	113162476.40 
1592	4678	21533732.02 	113160528.10 
1592	4679	21533362.03 	113158580.60 
1592	4680	21532990.67 	113156633.20 
1592	4681	21532620.58 	113154686.50 
1592	4682	21532250.70 	113152740.20 
1592	4683	21531880.13 	113150794.80 
1592	4684	21531510.26 	113148849.80 
1592	4685	21531140.32 	113146905.20 
1592	4686	21530770.37 	113144961.10 
1592	4687	21530400.60 	113143017.90 
1592	4688	21530030.29 	113141075.10 
1592	4689	21529661.21 	113139133.30 
1592	4690	21529291.55 	113137192.30 
1592	4691	21528922.44 	113135251.70 
1592	4692	21528552.76 	113133311.70 
1592	4693	21528184.26 	113131372.30 
1592	4694	21527815.39 	113129433.30 
1592	4695	21527446.10 	113127494.90 
1592	4696	21527078.05 	113125557.30 
1592	4697	21526709.56 	113123620.20 
1592	4698	21526340.45 	113121683.60 
1592	4699	21525972.48 	113119747.70 
1592	4700	21525604.01 	113117812.30 
1592	4701	21525235.79 	113115877.40 
1592	4702	21524867.51 	113113943.20 
1592	4703	21524499.85 	113112009.50 
1592	4704	21524131.67 	113110076.40 
1592	4705	21523764.34 	113108143.80 
1592	4706	21523396.29 	113106211.80 
1592	4707	21523028.80 	113104280.30 
1592	4708	21522661.29 	113102349.50 
1592	4709	21522294.27 	113100419.30 
1592	4710	21521927.00 	113098489.60 
1592	4711	21521560.52 	113096560.50 
1592	4712	21521193.25 	113094631.90 
1592	4713	21520825.56 	113092703.80 
1592	4714	21520459.10 	113090776.30 
1592	4715	21520092.40 	113088849.30 
1592	4716	21519725.55 	113086922.90 
1592	4717	21519359.06 	113084997.00 
1592	4718	21518992.88 	113083071.70 
1592	4719	21518626.38 	113081147.00 
1592	4720	21518260.62 	113079222.90 
1592	4721	21517894.49 	113077299.60 
1592	4722	21517528.34 	113075376.60 
1592	4723	21517162.47 	113073454.30 
1592	4724	21516796.95 	113071532.50 
1592	4725	21516431.81 	113069611.40 
1592	4726	21516065.98 	113067690.70 
1592	4727	21515700.55 	113065770.80 
1592	4728	21515335.58 	113063851.20 
1592	4729	21514969.91 	113061932.10 
1592	4730	21514605.41 	113060013.80 
1592	4731	21514240.70 	113058096.00 
1592	4732	21513875.16 	113056178.80 
1592	4733	21513510.55 	113054262.10 
1592	4734	21513146.28 	113052346.00 
1592	4735	21512781.74 	113050430.30 
1592	4736	21512417.06 	113048515.30 
1592	4737	21512052.55 	113046600.80 
1592	4738	21511688.96 	113044686.90 
1592	4739	21511324.56 	113042773.50 
1592	4740	21510960.30 	113040860.80 
1592	4741	21510596.87 	113038948.70 
1592	4742	21510233.04 	113037037.00 
1592	4743	21509869.37 	113035125.90 
1592	4744	21509505.59 	113033215.40 
1592	4745	21509142.33 	113031305.60 
1592	4746	21508778.43 	113029396.40 
1592	4747	21508415.73 	113027487.70 
1592	4748	21508052.31 	113025579.60 
1592	4749	21507689.41 	113023672.10 
1592	4750	21507326.28 	113021765.20 
1592	4751	21506963.91 	113019858.90 
1592	4752	21506601.16 	113017953.10 
1592	4753	21506238.40 	113016047.70 
1592	4754	21505875.97 	113014143.00 
1592	4755	21505514.16 	113012238.80 
1592	4756	21505151.89 	113010335.30 
1592	4757	21504789.56 	113008432.10 
1592	4758	21504427.39 	113006529.70 
1592	4759	21504065.33 	113004627.70 
1592	4760	21503703.60 	113002726.20 
1592	4761	21503342.45 	113000825.30 
1592	4762	21502980.56 	112998925.10 
1592	4763	21502619.05 	112997025.40 
1592	4764	21502257.45 	112995126.40 
1592	4765	21501896.41 	112993227.90 
1592	4766	21501534.88 	112991329.90 
1592	4767	21501174.33 	112989432.60 
1592	4768	21500813.43 	112987535.80 
1592	4769	21500452.28 	112985639.50 
1592	4770	21500091.16 	112983743.80 
1592	4771	21499730.90 	112981854.70 
1592	4772	21499370.23 	112979960.30 
1592	4773	21499010.22 	112978066.40 
1592	4774	21498649.54 	112976173.10 
1592	4775	21498289.18 	112974280.40 
1592	4776	21497929.52 	112972388.30 
1592	4777	21497569.67 	112970496.70 
1592	4778	21497210.31 	112968605.70 
1592	4779	21496850.13 	112966715.40 
1592	4780	21496490.06 	112964825.50 
1592	4781	21496130.61 	112962936.50 
1592	4782	21495771.37 	112961047.90 
1592	4783	21495412.42 	112959159.80 
1592	4784	21495052.84 	112957272.40 
1592	4785	21494693.70 	112955385.50 
1592	4786	21494334.74 	112953499.10 
1592	4787	21493976.63 	112951613.50 
1592	4788	21493617.49 	112949728.30 
1592	4789	21493258.88 	112947843.70 
1592	4790	21492900.38 	112945959.70 
1592	4791	21492541.66 	112944076.30 
1592	4792	21492183.63 	112942193.40 
1592	4793	21491825.49 	112940311.10 
1592	4794	21491466.80 	112938429.50 
1592	4795	21491109.64 	112936548.30 
1592	4796	21490751.55 	112934667.80 
1592	4797	21490393.68 	112932787.80 
1592	4798	21490035.65 	112930908.50 
1592	4799	21489678.55 	112929029.60 
1592	4800	21489321.10 	112927151.20 
1592	4801	21488963.79 	112925273.50 
1592	4802	21488606.30 	112923396.40 
1592	4803	21488249.32 	112921519.80 
1592	4804	21487892.43 	112919643.80 
1592	4805	21487535.59 	112917768.40 
1592	4806	21487178.76 	112915893.60 
1592	4807	21486822.30 	112914019.30 
1592	4808	21486465.70 	112912145.60 
1592	4809	21486109.28 	112910272.60 
1592	4810	21485752.45 	112908400.00 
1592	4811	21485396.34 	112906528.10 
1592	4812	21485040.19 	112904656.80 
1592	4813	21484684.48 	112902786.10 
1592	4814	21484328.67 	112900915.90 
1592	4815	21483972.72 	112899046.30 
1592	4816	21483617.20 	112897177.30 
1592	4817	21483261.48 	112895308.80 
1592	4818	21482906.27 	112893440.90 
1592	4819	21482550.60 	112891573.50 
1592	4820	21482195.74 	112889706.70 
1592	4821	21481840.39 	112887840.50 
1592	4822	21481485.52 	112885974.80 
1592	4823	21481130.73 	112884109.70 
1592	4824	21480775.83 	112882245.10 
1592	4825	21480421.24 	112880380.80 
1592	4826	21480066.63 	112878517.10 
1592	4827	21479711.79 	112876654.00 
1592	4828	21479357.02 	112874791.40 
1592	4829	21479002.69 	112872929.40 
1592	4830	21478648.41 	112871068.00 
1592	4831	21478294.06 	112869206.70 
1592	4832	21477940.14 	112867346.10 
1592	4833	21477586.45 	112865486.40 
1592	4834	21477232.67 	112863627.20 
1592	4835	21476879.03 	112861768.50 
1592	4836	21476525.28 	112859910.50 
1592	4837	21476172.13 	112858053.00 
1592	4838	21475818.47 	112856196.10 
1592	4839	21475465.30 	112854339.90 
1592	4840	21475112.35 	112852483.90 
1592	4841	21474759.09 	112850628.50 
1592	4842	21474406.80 	112848773.60 
1592	4843	21474053.60 	112846919.40 
1592	4844	21473700.59 	112845065.50 
1592	4845	21473347.82 	112843212.70 
1592	4846	21472995.83 	112841360.60 
1592	4847	21472643.11 	112839508.90 
1592	4848	21472291.05 	112837657.60 
1592	4849	21471938.33 	112835807.10 
1592	4850	21471586.35 	112833957.20 
1592	4851	21471234.86 	112832107.70 
1592	4852	21470883.19 	112830259.20 
1592	4853	21470531.17 	112828410.80 
1592	4854	21470179.92 	112826563.10 
1592	4855	21469828.06 	112824716.10 
1592	4856	21469476.94 	112822869.60 
1592	4857	21469125.34 	112821023.60 
1592	4858	21468774.32 	112819177.90 
1592	4859	21468423.32 	112817332.90 
1592	4860	21468072.12 	112815488.60 
1592	4861	21467721.39 	112813644.80 
1592	4862	21467370.66 	112811801.20 
1592	4863	21467019.25 	112809958.70 
1592	4864	21466669.52 	112808116.60 
1592	4865	21466318.93 	112806274.90 
1592	4866	21465968.63 	112804434.00 
1592	4867	21465618.58 	112802593.60 
1592	4868	21465268.30 	112800754.00 
1592	4869	21464918.08 	112798914.60 
1592	4870	21464568.88 	112797075.80 
1592	4871	21464218.80 	112795237.70 
1592	4872	21463868.76 	112793400.10 
1592	4873	21463519.69 	112791563.20 
1592	4874	21463169.93 	112789726.80 
1592	4875	21462820.88 	112787890.60 
1592	4876	21462471.35 	112786055.30 
1592	4877	21462122.16 	112784220.70 
1592	4878	21461773.38 	112782386.50 
1592	4879	21461424.51 	112780552.70 
1592	4880	21461075.68 	112778719.50 
1592	4881	21460726.72 	112776887.30 
1592	4882	21460378.11 	112775055.20 
1592	4883	21460029.77 	112773224.20 
1592	4884	21459681.05 	112771393.20 
1592	4885	21459332.85 	112769563.00 
1592	4886	21458984.88 	112767733.60 
1592	4887	21458636.41 	112765904.70 
1592	4888	21458289.15 	112764076.30 
1592	4889	21457941.18 	112762248.30 
1592	4890	21457593.16 	112760420.80 
1592	4891	21457245.57 	112758593.80 
1592	4892	21456898.20 	112756767.70 
1592	4893	21456550.85 	112754942.20 
1592	4894	21456204.17 	112753117.30 
1592	4895	21455856.47 	112751292.60 
1592	4896	21455509.22 	112749469.00 
1592	4897	21455162.49 	112747646.00 
1592	4898	21454815.30 	112745823.30 
1592	4899	21454468.92 	112744001.10 
1592	4900	21454122.23 	112742179.40 
1592	4901	21453775.32 	112740358.50 
1592	4902	21453429.34 	112738538.30 
1592	4903	21453083.13 	112736718.70 
1592	4904	21452736.72 	112734899.40 
1592	4905	21452390.91 	112733080.70 
1592	4906	21452045.01 	112731262.60 
1592	4907	21451698.87 	112729444.80 
1592	4908	21451353.52 	112727627.70 
1592	4909	21451007.55 	112725811.30 
1592	4910	21450661.95 	112723995.70 
1592	4911	21450316.67 	112722180.60 
1592	4912	21449971.29 	112720365.90 
1592	4913	21449626.17 	112718552.10 
1592	4914	21449280.74 	112716738.80 
1592	4915	21448935.75 	112714925.80 
1592	4916	21448590.99 	112713113.40 
1592	4917	21448245.77 	112711301.80 
1592	4918	21447901.22 	112709490.80 
1592	4919	21447556.98 	112707680.10 
1592	4920	21447212.59 	112705870.20 
1592	4921	21446868.67 	112704060.80 
1592	4922	21446523.93 	112702251.90 
1592	4923	21446180.27 	112700443.60 
1592	4924	21445836.30 	112698635.80 
1592	4925	21445492.32 	112696828.90 
1592	4926	21445148.60 	112695022.50 
1592	4927	21444804.91 	112693216.50 
1592	4928	21444461.14 	112691411.00 
1592	4929	21444117.52 	112689605.90 
1592	4930	21443774.55 	112687801.60 
1592	4931	21443431.07 	112685997.80 
1592	4932	21443087.98 	112684194.50 
1592	4933	21442744.80 	112682392.10 
1592	4934	21442402.06 	112680590.30 
1592	4935	21442059.39 	112678789.10 
1592	4936	21441716.66 	112676988.30 
1592	4937	21441374.35 	112675188.20 
1592	4938	21441031.49 	112673388.80 
1592	4939	21440689.41 	112671589.90 
1592	4940	21440346.99 	112669791.40 
1592	4941	21440004.84 	112667993.20 
1592	4942	21439662.70 	112666195.70 
1592	4943	21439320.61 	112664398.90 
1592	4944	21438979.31 	112662602.70 
1592	4945	21438637.45 	112660807.10 
1592	4946	21438296.10 	112659012.20 
1592	4947	21437954.06 	112657217.80 
1592	4948	21437612.45 	112655423.70 
1592	4949	21437272.21 	112653630.20 
1592	4950	21436930.33 	112651837.70 
1592	4951	21436589.34 	112650045.60 
1592	4952	21436248.08 	112648254.00 
1592	4953	21435907.87 	112646463.00 
1592	4954	21435566.85 	112644672.80 
1592	4955	21435226.75 	112642883.30 
1592	4956	21434886.44 	112641094.30 
1592	4957	21434545.16 	112639305.90 
1592	4958	21434205.77 	112637518.00 
1592	4959	21433865.45 	112635730.70 
1592	4960	21433525.34 	112633943.90 
1592	4961	21433185.67 	112632157.30 
1592	4962	21432846.08 	112630371.60 
1592	4963	21432505.80 	112628586.60 
1592	4964	21432166.50 	112626802.10 
1592	4965	21431826.77 	112625018.10 
1592	4966	21431487.65 	112623234.40 
1592	4967	21431148.02 	112621451.30 
1592	4968	21430808.90 	112619669.10 
1592	4969	21430470.55 	112617887.60 
1592	4970	21430131.45 	112616106.50 
1592	4971	21429792.25 	112614326.10 
1592	4972	21429453.48 	112612546.30 
1592	4973	21429115.55 	112610767.20 
1592	4974	21428776.95 	112608988.30 
1592	4975	21428438.35 	112607210.10 
1592	4976	21428100.30 	112605432.60 
1592	4977	21427761.84 	112603655.60 
1592	4978	21427423.84 	112601879.00 
1592	4979	21427086.05 	112600103.20 
1592	4980	21426748.77 	112598328.00 
1592	4981	21426410.66 	112596553.10 
1592	4982	21426072.64 	112594779.00 
1592	4983	21425735.07 	112593005.40 
1592	4984	21425397.60 	112591232.30 
1592	4985	21425060.43 	112589459.90 
1592	4986	21424723.03 	112587688.00 
1592	4987	21424386.35 	112585916.70 
1592	4988	21424049.36 	112584145.90 
1592	4989	21423712.59 	112582375.80 
1592	4990	21423375.58 	112580606.50 
1592	4991	21423038.97 	112578837.70 
1592	4992	21422702.80 	112577069.50 
1592	4993	21422366.82 	112575301.70 
1592	4994	21422030.05 	112573534.20 
1592	4995	21421693.84 	112571771.60 
1592	4996	21421357.69 	112570005.40 
1592	4997	21421021.68 	112568240.10 
1592	4998	21420686.07 	112566475.30 
1592	4999	21420350.05 	112564710.70 
1592	5000	21420014.18 	112562946.70 
1592	5001	21419678.44 	112561183.20 
1592	5002	21419343.30 	112559420.50 
1592	5003	21419008.05 	112557658.40 
1592	5004	21418673.24 	112555896.90 
1592	5005	21418337.87 	112554136.20 
1592	5006	21418002.96 	112552376.00 
1592	5007	21417667.91 	112550616.30 
1592	5008	21417333.09 	112548857.30 
1592	5009	21416998.52 	112547099.10 
1592	5010	21416664.21 	112545341.40 
1592	5011	21416330.07 	112543584.30 
1592	5012	21415995.60 	112541827.50 
1592	5013	21415661.37 	112540071.30 
1592	5014	21415327.50 	112538315.90 
1592	5015	21414993.02 	112536560.70 
1592	5016	21414659.54 	112534806.60 
1592	5017	21414325.63 	112533052.90 
1592	5018	21413992.60 	112531299.40 
1592	5019	21413659.19 	112529547.00 
1592	5020	21413325.55 	112527795.00 
1592	5021	21412991.91 	112526043.40 
1592	5022	21412659.09 	112524292.40 
1592	5023	21412325.80 	112522542.10 
1592	5024	21411992.88 	112520792.50 
1592	5025	21411660.00 	112519043.50 
1592	5026	21411327.63 	112517294.80 
1592	5027	21410994.55 	112515546.60 
1592	5028	21410661.88 	112513799.30 
1592	5029	21410329.32 	112512052.60 
1592	5030	21409997.13 	112510306.20 
1592	5031	21409665.20 	112508560.60 
1592	5032	21409333.07 	112506815.50 
1592	5033	21409000.90 	112505071.30 
1592	5034	21408669.58 	112503327.60 
1592	5035	21408337.44 	112501584.60 
1592	5036	21408005.95 	112499842.00 
1592	5037	21407674.17 	112498100.00 
1592	5038	21407343.05 	112496358.50 
1592	5039	21407012.02 	112494617.50 
1592	5040	21406680.60 	112492877.30 
1592	5041	21406349.73 	112491137.50 
1592	5042	21406018.88 	112489398.50 
1592	5043	21405688.11 	112487660.00 
1592	5044	21405357.17 	112485922.00 
